LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
893,2029,145672,Primary,7,6,1,6.2,3.7,1,23.1,"£42,835"
893,2032,123357,Primary,7,11,1,4.5,3.7,0.7,15,"£39,531"
893,2034,123359,Primary,6,7,1,4,3.2,0.7,15,"£39,785"
893,2035,141637,Primary,9,23,1,6.5,7.8,1,24,"£39,586"
893,2036,141636,Primary,12,25,3,11.4,16.2,2.2,22.7,"£36,198"
893,2044,143326,Primary,17,23,2,15.6,14.7,1.9,23.9,"£34,935"
893,2046,123366,Primary,9,12,0,9,7.7,0,21,"£38,047"
893,2052,123371,Primary,11,18,3,10,9,2.1,24.4,"£38,325"
893,2054,123372,Primary,8,21,5,6.8,8,1.3,17.9,"£40,628"
893,2055,123373,Primary,13,11,1,9.7,6,1,16.6,"£37,689"
893,2065,143800,Primary,9,35,2,7.2,14.8,1.6,28.4,"£38,739"
893,2070,145792,Primary,17,25,6,13.3,13.2,3,27.3,"£39,185"
893,2072,123383,Primary,10,11,3,8,4.8,1.6,18.4,"£37,079"
893,2075,123385,Primary,7,10,1,4.9,4.7,0.8,15.9,"£35,769"
893,2077,139630,Primary,31,66,14,24.9,28.2,7.5,26.2,"£36,427"
893,2084,144848,Primary,19,24,6,16.8,15.6,5.4,24.9,"£39,458"
893,2086,145791,Primary,14,32,6,11.5,10.4,3,23.1,"£38,319"
893,2088,123391,Primary,13,19,4,10.1,11.2,3.7,22.1,"£39,689"
893,2090,123393,Primary,18,28,6,18,20.2,5.4,19.4,"£40,619"
893,2092,146183,Primary,18,16,6,16.7,8,4.6,21.4,"£37,852"
893,2098,123395,Primary,12,35,7,9.6,18.4,4.6,34.7,"£40,668"
893,2099,123396,Primary,6,8,2,4.6,3.3,1.2,18.7,"£37,010"
893,2101,123397,Primary,6,15,5,5.1,4,2.5,15.6,"£32,529"
893,2103,123399,Primary,9,12,3,4.8,4.8,1.5,23.2,"£45,117"
893,2110,123403,Primary,10,14,2,7.8,4.6,1.3,20.4,"£41,057"
893,2113,123405,Primary,3,10,6,2.5,3.5,3.2,30.8,"£38,189"
893,2117,123407,Primary,10,13,6,9,8.1,2.8,23.5,"£37,663"
893,2120,123410,Primary,11,13,11,9.6,6.9,6.4,24.2,"£39,169"
893,2122,145788,Primary,16,20,2,14.8,12.3,2,23.6,"£39,840"
893,2139,145789,Primary,10,23,10,10,15.9,5.8,23,"£38,401"
893,2146,123424,Primary,15,33,4,14.1,12,2.6,25.8,"£39,800"
893,2149,143801,Primary,12,21,4,12,9.1,1.6,20.3,"£37,619"
893,2157,145202,Primary,10,14,2,9.2,8.5,1.6,24.7,"£39,652"
893,2159,123434,Primary,11,19,6,8.5,8.6,4.6,25.1,"£40,330"
